NO2,O3,PM10,PM25,date,site_code
36.87083333333333,36.737500000000004,26.454166666666666,,2020-04-07,BX1
38.77916666666667,44.525,49.525000000000006,,2020-04-08,BX1
37.912499999999994,44.13750000000001,53.25000000000001,,2020-04-09,BX1
32.70416666666667,43.70416666666667,42.51666666666667,,2020-04-10,BX1
37.612500000000004,32.25,32.53333333333333,,2020-04-11,BX1
16.187500000000004,76.19583333333334,24.8625,,2020-04-12,BX1
4.354166666666667,77.37083333333334,17.1875,,2020-04-13,BX1
11.783333333333333,74.85833333333333,14.841666666666669,,2020-04-14,BX1
29.95416666666667,50.275000000000006,27.395833333333332,,2020-04-15,BX1
37.208333333333336,41.9375,47.51666666666667,,2020-04-16,BX1
9.754166666666668,,21.354166666666668,,2020-04-17,BX1
14.420833333333334,,21.683333333333326,,2020-04-18,BX1
8.370833333333332,,15.037500000000001,,2020-02-01,BX2
10.545833333333333,,17.291666666666668,,2020-02-02,BX2
13.566666666666668,,17.549999999999997,,2020-02-03,BX2
21.216666666666672,,13.920833333333333,,2020-02-04,BX2
52.54166666666668,,29.45833333333334,,2020-02-05,BX2
55.712500000000006,,31.587499999999995,,2020-02-06,BX2
36.375,,32.3875,,2020-02-07,BX2
13.424999999999999,,16.9,,2020-02-08,BX2
4.104166666666666,,14.187500000000002,,2020-02-09,BX2
8.354166666666666,,10.925000000000002,,2020-02-10,BX2
9.766666666666667,,13.350000000000001,,2020-02-11,BX2
18.554166666666667,,13.254166666666668,,2020-02-12,BX2
17.565217391304348,,8.799999999999999,,2020-02-13,BX2
20.125000000000004,,18.64166666666667,,2020-02-14,BX2
5.6375,,9.104166666666666,,2020-02-15,BX2
6.366666666666666,,5.545833333333334,,2020-02-16,BX2
8.770833333333334,,14.608333333333334,,2020-02-17,BX2
10.870833333333335,,11.291666666666666,,2020-02-18,BX2
,,12.790476190476191,,2020-02-19,BX2
13.795833333333329,,8.662499999999998,,2020-02-20,BX2
10.120833333333335,,18.979166666666668,,2020-02-21,BX2
7.079166666666666,,18.054166666666664,,2020-02-22,BX2
13.25,,8.308695652173913,,2020-02-23,BX2
12.5375,,8.870833333333334,,2020-02-24,BX2
12.479166666666666,,8.745833333333334,,2020-02-25,BX2
20.808695652173913,,9.391666666666667,,2020-02-26,BX2
26.40952380952381,,9.257894736842108,,2020-02-27,BX2
18.27916666666667,,12.533333333333337,,2020-02-28,BX2
6.1208333333333345,,18.116666666666664,,2020-02-29,BX2
6.6291666666666655,,11.183333333333335,,2020-03-01,BX2
21.64583333333334,,8.35,,2020-03-02,BX2
26.03478260869565,,13.208333333333334,,2020-03-03,BX2
32.111111111111114,,16.757142857142856,,2020-03-04,BX2
17.475000000000005,,14.029166666666667,,2020-03-05,BX2
31.38333333333334,,18.470833333333335,,2020-03-06,BX2
18.841666666666665,,21.674999999999997,,2020-03-07,BX2
5.441666666666666,,12.116666666666667,,2020-03-08,BX2
8.645833333333334,,13.108333333333334,,2020-03-09,BX2
7.154166666666668,,5.1125,,2020-03-10,BX2
7.433333333333333,,7.033333333333332,,2020-03-11,BX2
6.2458333333333345,,13.56086956521739,,2020-03-12,BX2
15.229166666666666,,16.625,,2020-03-13,BX2
7.154166666666666,,11.262500000000001,,2020-03-14,BX2
9.716666666666667,,8.966666666666667,,2020-03-15,BX2
23.03333333333333,,13.495833333333332,,2020-03-16,BX2
9.970833333333333,,15.004166666666665,,2020-03-17,BX2
9.529166666666665,,13.129166666666668,,2020-03-18,BX2
18.070833333333336,,18.008333333333326,,2020-03-19,BX2
9.329166666666667,,16.658333333333335,,2020-03-20,BX2
10.904166666666667,,30.200000000000006,,2020-03-21,BX2
17.462500000000002,,25.82083333333333,,2020-03-22,BX2
36.37916666666667,,36.03333333333333,,2020-03-23,BX2
34.94347826086956,,23.30909090909091,,2020-03-24,BX2
38.93333333333333,,35.67083333333333,,2020-03-25,BX2
27.333333333333332,,41.816666666666656,,2020-03-26,BX2
17.433333333333334,,42.175000000000004,,2020-03-27,BX2
7.666666666666667,,28.86666666666667,,2020-03-28,BX2
4.55,,17.554166666666667,,2020-03-29,BX2
14.549999999999995,,15.008333333333338,,2020-03-30,BX2
17.045833333333334,,26.575000000000003,,2020-03-31,BX2
24.487499999999997,,16.91666666666667,,2020-04-01,BX2
